English Name,English District,Best Arabic Match,Match Score,Cand1,Cand1_Lat,Cand1_Score,Cand2,Cand2_Lat,Cand2_Score,Cand3,Cand3_Lat,Cand3_Score
Haddet,Baalbeck,العقيدية,50.0,العقيدية,حادة,50.0,الحلانيه,حادة,40.0,الصوانية,حادة,40.0
Jenta,Baalbeck,الجوبانية,60.0,الجوبانية,جنة,60.0,النقرة,جنة,57.142857142857146,وادي النيرة,جنة,57.142857142857146
Kfar Dabache,Baalbeck,وادي الصفا الشرقي,58.8235294117647,وادي الصفا الشرقي,كفار دبشي,58.8235294117647,الخضر حي الاشعل,كفر دباش,50.0,الشواغير الفوقا,كفار دبشي,50.0
Knaissat,Baalbeck,وادي النيرة,66.66666666666666,وادي النيرة,كنيسة,66.66666666666666,وادي بنيت,كنيست,66.66666666666666,السويسة,كنيسة,60.0
litige,Baalbeck,التوفيقيه,57.142857142857146,التوفيقيه,لتيجي,57.142857142857146,الزويتيني,لتيجي,57.142857142857146,الحلانيه,ليتجه,54.54545454545455
Misraya,Baalbeck,المعاصر,66.66666666666666,المعاصر,مصري,66.66666666666666,صفرا,مصريا,66.66666666666666,السويسة,مسرية,60.0
Oummouchki,Baalbeck,العلاق,50.0,العلاق,عمشق,50.0,وادي المشمشه,أمشق,44.44444444444444,السعيده,عمشكي,40.0
Ras Baalbek El-Charki,Baalbeck,الخضر الشرقي,66.66666666666666,الخضر الشرقي,راس بعلبك El شرقي,66.66666666666666,الريش حي الشرقي,راس بعلبك El شرقي,66.66666666666666,وادي الصفا الشرقي,راس بعلبك El شرقي,66.66666666666666
Ras Baalbek El-Sahl,Baalbeck,النبي رشاده,57.142857142857146,النبي رشاده,راس بالبيك El سهل,57.142857142857146,حي العباسية,راس بالبق El صحل,51.851851851851855,سهلات الماء,راس بالبق El سهل,51.851851851851855
Slouky,Baalbeck,السويسة,60.0,السويسة,سلوكي,60.0,فلاوي,سلوكي,60.0,التوفيقيه,سلوقي,57.142857142857146
Conflict,Hermel,وادي بنيت,54.54545454545455,وادي بنيت,كنفليكت,54.54545454545455,فلاوي,كنفليكت,50.0,التوفيقيه,كونفلقت,42.857142857142854
El-Méaisseri,Hermel,الريش حي الشميس,53.333333333333336,الريش حي الشميس,El ميسر,53.333333333333336,الحدث الشمالي,El مايسر,47.05882352941177,المعاصر,El مايسر,46.15384615384615
Hermel Djebab,Hermel,الهرمل حي بديتا,73.6842105263158,الهرمل حي بديتا,هرمل جباب,73.6842105263158,الهرمل حي الوقف,هرمل جبب,66.66666666666666,الخضر حي الشعب,حيرمل جباب,54.54545454545455
Hermel Zighrine,Hermel,الهرمل حي الوقف,66.66666666666666,الهرمل حي الوقف,هرمل زغرين,66.66666666666666,الريش حي الغربي,حرميل زغرين,63.1578947368421,الهرمل حي بديتا,هرمل ظغرن,61.53846153846154
Michaa Mrajhiné,Hermel,مراح العين,55.55555555555556,مراح العين,مشا مرجحين,55.55555555555556,شعت حي الضهر,مشع مرجحين,54.54545454545455,الريش حي الشميس,ميشا مرجحين,52.63157894736842
Ouadi El-Osse,Hermel,وادي المشمشه,58.333333333333336,وادي المشمشه,عوادي El اسه,58.333333333333336,وادي الرطل,عوادي El اص,57.142857142857146,وادي الزين,عوادي El اص,57.142857142857146
Ras-Baalbek - Wadi Faara,Hermel,وادي الصفا الشرقي,70.58823529411765,وادي الصفا الشرقي,رص بالبق وادي فار,70.58823529411765,وادي النيرة,رص بالبيك وادي فارة,66.66666666666666,وادي بنيت,راس بعلبك وادي فارة,61.53846153846154
Ras Baalbek El-Gharbi,Hermel,الحدث الغربي,66.66666666666666,الحدث الغربي,راس بعلبك El غربي,66.66666666666666,الخضر الغربي,راس بعلبك El غربي,66.66666666666666,الريش حي الغربي,راس بعلبك El غربي,66.66666666666666
Beirut Central District,Beirut,,0,,,,,,,,,
Aïha,Rachiaya,الخياره,57.142857142857146,الخياره,اه,57.142857142857146,عيحا,أيها,50.0,الروضة,اهة,44.44444444444444
Aïn Horché,Rachiaya,عين التينه,66.66666666666666,عين التينه,عين هرش,66.66666666666666,راشيا حي الميدان,عين حرشي,63.1578947368421,راشيا حي الفوقا,عاين حرشي,52.63157894736842
Conflict,Rachiaya,كفرقوق,46.15384615384615,كفرقوق,كونفلقت,46.15384615384615,كفردنيس,كنفليكت,42.857142857142854,الخياره,كنفليكت,28.57142857142857
Deir El-Achayer,Rachiaya,دير العشائر,76.19047619047619,دير العشائر,دير El عشاير,76.19047619047619,راشيا حي الميدان,داير El عاشير,48.275862068965516,عين التينه,داير El عشير,45.45454545454545
